Description,Sentiment
,
WOW!!!,
,
Awesome.,
,
Sause not provided,
,
there was no complimentary sauce with it,
,
,
,
excellent,
,
yuuuummmmyyy??,
,
really good,
,
Asked for ketchup and mayo but not delivered,
,
compromised with the quantity.,
,
"full of oil of Veg momos, want to return.",
,
out of 5momos 3was broken,
,
cold food,
,
I want money back,
,
"yummy, but the filling wasn't cooked well, the vegetables were a little more crunchy, buttt. I loveddd the moburg a lotttt its sooo yummyyyy",
,
Found hair in then food.,
,
burnt burger recd,
,
thank you for come before time??,
,
the sauce and green chutney was not given ??,
,
Order was incomplete since the chutney was not sent with the chicken cheese momos.,
,
Ossum taste for veg momo it's delicious and good for health because of it's steam I am loving it I am aslo regular customer for wow Momos..... . . . . .,
,
good,
,
Amazing experience ????????,
,
We ordered Chicken Darjeeling Steam Momo. Chicken was added in large quantities . Packaging was perfectly made . Fast delivery service provided by them,
,
Thanks to give awesome delicious and spicy foods under the budget which I wanted. Very happy to order foods from this restaurant..,
,
excellent promo offers and fast delivery.,
,
delivery is very fast,
,
Really surprised that Zomato charging distance fee for delivery which is less than 500 m,
,
yummy,
,
wow??,
,
good,
,
no.,
,
mast,
,
momo s are getting smaller everyday.. and sauce spicier,
,
they forgot to give the Pepsi mentioned!.,
,
both went cold before i receive...,
,
waste of money,
,
All the fried momo pieces are burnt. Why don't they see and pack the foods. Tastes like burnt momos. I paid 123/- for 5 burnt fried momos.,
,
too much spicy,
,
nice,
,
that was good and tasty.. will order again,
,
I got food poisoning from the food and puked. Definitely didn't expect this from wow momo's food.,
,
Please return my money,
,
to costly with very less quantity,
,
that was good and tasty.. will order again,
,
nice,
,
to costly with very less quantity,
,
momo s are getting smaller everyday.. and sauce spicier,
,
All the fried momo pieces are burnt. Why don't they see and pack the foods. Tastes like burnt momos. I paid 123/- for 5 burnt fried momos.,
,
too much spicy,
,
waste of money,
,
both went cold before i receive...,
,
they forgot to give the Pepsi mentioned!.,
,
Green chutney not provided inspite of mentioning separately,
,
disgusting,
,
I'm trying first time momo with wow momo and I also . like the service of the team . really it was amazing .,
,
the taste was not good,
,
no,
,
good taste,
,
they didn't  send cutlery,
,
yummy ??... Tasty food in reasonable price ??,
,
9.1,
,
wow momo never disappoints,
,
barrackpur 1 staff r very presentable n nice..service are very good n product r hot n tasty.service is very good,
,
good,
,
super and yummy spicy. who ever can't  bear spiciness  then please don't go for this.,
,
?? good,
,
worth it combo???,
,
Zomato 99 offer is excellent. Waiting for next 99!!,
,
the delivery executive was very humble and very punctual.delivered my momos before time.,
,
Good quality,
,
cool,
,
supeeb.,
,
taste good and fresh,
,
"very good size.. great taste .. I got everything at 99 menu combo - 4 fried momos , 1 moburg burger and 250ml Pepsi in 99 rs... it's a steal deal",
,
The stuffing of Darjeeling steam momo is not good,
,
"taste was amazing ??. hygienic, superb",
,
good behavior delivery boy,
,
Thank You Mr. Nadasan you’re grate buddy thanks a lot for preparing my food order properly as I told you deserve to be a store manager keep it up w,
,
nice,
,
nice,
,
very good,
,
fantastic,
,
fantastic,
,
I got food poisoning from the food and puked. Definitely didn't expect this from wow momo's food.,
,
Please return my money,
,
good man,
,
don't know,
,
cold drinks must be send cold not in nomal temperature..,
,
osm..??,
,
Even their burger is faaaar better than any Mcdonald or KFC. Spicy mix of chinese and Indian. More chicken than mcd by far.,
,
good,
,
Awesome Awesome Awesome!,
,
Packing of the orange thunderzz bad spelled out,
,
good portion .nice taste.always prefer dumdum wow momo.good service.always visit dumdum wowmomo,
,
The taste was very very yummy ?? and momo and burger ?? was amazing Just like it ?? There are 6 momos and 2 burgers and 2 Pepsi can I have upload a picture ???,
,
best ??,
,
burnt food,
,
very good behaviour ??,
,
Mayo was missing,
,
Excellent taste..,
,
delicious food delivered  By wow momo ?????? thankyou,
,
WOW! Momos my love..?,
,
A friend me told me for this place. as i listen its superb. I tried Hakka noodles I love to try my family too.,
,
"As just i test your noodles so i packed for my family.. wow experience ever. Spicy  noodles, which were spicy but tasty and also reasonably priced. Hope to revisit soon.. and tried in dinein... Thankyou.",
,
good,
,
first delivery,
,
Quantity should have been six as the others give 6. but momo was amezing... i suggest to my frend too.,
,
i didn't expect to receive a wrong item in the order from wow momo which is my go to restaurant for momo cravings. let's hope it is a one off that i received wrong ice tea.rest of the order was delish and finger licking good.,
,
"Even after requesting for cutlery, no cutlery was sent",
,
order delivered late. not refresh chicken stuffing. cold,
,
overall quality detoriat,
,
???,
,
Neatly packed and tasted excellent.,
,
It was good but was too spicy,
,
Wow moment create by wow momo .paneer steem momo order and Now received properly with Good packings.delerver order fast by Zomato rider ????????,
,
good,
,
That delivery boy was so helpful.,
,
burnt food,
,
Steam momo amazing food and I really loved it.best to eat evng food ....best of money . very good nd low price ...order I will try 2 second time,
,
Not really!!,
,
The food is soo good in taste and hygiene the service of staff was great the lady ayesha and the man ketan was too good in there job great job,
,
Good in taste.,
,
good portion .nice taste.always prefer dumdum wow momo.good service.always visit dumdum wowmomo,
,
Awesome Awesome Awesome!,
,
best ??,
,
good,
,
The taste was very very yummy ?? and momo and burger ?? was amazing Just like it ?? There are 6 momos and 2 burgers and 2 Pepsi can I have upload a picture ???,
,
very good behaviour ??,
,
Packing of the orange thunderzz bad spelled out,
,
good,
,
Chutney was bad and only 2 very small chutney was given for 2 burgers and 2 momos. The momos have very thin skin so they were broken,
,
no dear,
,
Taste and quantity are fully satisfied.Tissue and spoons is not provided thats y I’ll reduce one point.,
,
filling is comming out of the momos inside the box.,
,
cutlery was not included.,
,
Items are missing,
,
"momo is cold, teste also ?? ",
,
pepsi item missing,
,
"This was my only option for today's lunch and what did Wow Momo provide?? Raw momos with raw flour n raw chicken stuffing!! And when asked for a resolution from Zomato what did Zomato say? ""ORDER FROM A DIFFERENT RESTAURANT NEXT TIME"" like SERIOUSLY??. #SHAMEONZOMATO",
,
incorrect sauce provided and inconsistent frying.,
,
i did not get any sauces with the momos because of that the momos taste were blunt.??,
,
"humble, on time, professional.",
,
very bad packaging food was messed up,
,
I ordered 2 chicken cheese fries momo but there was no cheese at all... it's very sad,
,
surface was burnt. Chutneys were not provided.,
,
I had ordered two plates but was delivered only one,
,
good,
,
best in class??,
,
very good,
,
"humble, on time, professional.",
,
Chutney was bad and only 2 very small chutney was given for 2 burgers and 2 momos. The momos have very thin skin so they were broken,
,
All the sauce is out of the box,
,
Hi. Sorry I do not have photographs of the momos but the taste was real bad ad though the quality of the momos has been pulled down completely,
,
Why i only receive these type of food,
,
There is no dip with the order,
,
"Issue created by madeeha.qazi_ssg@external.swiggy.in on Feb 10, 2022, 05:09 PM",
,
The momos are not crispy ... tastes like those are not cooked recently!,
,
I got Food poisoning after eating the burger and momo,
,
Coke is missing,
,
"No momos chutney, Mayo or sauce provided ",
,
2 chicken and 2 veg burgers,
,
"Issue created by sandip.chowdhury_kt@external.swiggy.in on Feb 7, 2022, 12:41 AM",
,
Received different item,
,
"Issue created by pretam.d_kt@external.swiggy.in on Feb 12, 2022, 03:15 PM",
,
very bad packaging food was messed up,
,
i did not get any sauces with the momos because of that the momos taste were blunt.??,
,
nice,
,
best in class??,
,
good,
,
Spillage also there along with missing item,
,
It was boggy and I don't think it's fresh momos,
,
Entire order is wrong on bill as well as contents.<br/>I had ordered 3 items and recived only only.,
,
"The water droplets from the drink spilled over into momos, the entire dish is now filled with water. Cant eat this thing",
,
All the momos are broken,
,
One non veg momo received in place of veg,
,
Not there,
,
Both the momo and the momo burger is burnt so I need refund for this,
,
Checken n items missing from thupka,
,
Packing is opened,
,
Bunch of hair in the burger,
,
Its not in condition to eat,
,
I have received wrong item,
,
The sauce was too spicy and the food was not hot,
,
I order  Schezwan fried chicken momos with Schezwan sauce but restaurant gave me chilly momos what is this,
,
"i ordered 2 plate nonveg momos but I was given 2 plate of veg momos, also there is no chutney given, the momos were cold as hell",
,
the entire order was spilled,
,
Item was incorrect,
,
"Issue created by nilotpal.d05_kt@external.swiggy.in on Feb 13, 2022, 02:50 AM",
,
Payment done but momos missing,
,
I opened the parcel and see that cheese chicken momo box is missing,
,
I didn't recieve my order completely,
,
"Have ordered 3 meals, consisting of 2 pepsi each. But haven't received any Pepsi.",
,
Too much of salt that we couldn?t eat,
,
I ordered veg burger and received non veg,
,
I have ordered chicken fried momo but I have received veg fried momo,
,
There is no mayonese given with momos,
,
I mentioned i need it tomato sauce however then gave it in extrme chilly one which is not at all eatable i need a refund it's  really disappointing,
,
The box was slightly open and the momos became soggy and cold because of the delay in delivery.,
,
I got au gratin regular instead of large,
,
One burger missing,
,
I received veg mono instead of chicken momo,
,
the oil is spreading all over worst packaging,
,
"Issue created by revati.kulkarni_cb@external.swiggy.in on Feb 9, 2022, 12:02 AM",
,
I asked for tomato sauce but it came in scehzwan saide,
,
1 veg item missing. Please refund,
,
They have given manchurian instead of Schezuan sauce,
,
"The delivery took one hour and I received cold burgers, no taste at all",
,
The item is firstly wrong. And they're burnt,
,
The momo should be 6 pieces but received 5 pieces.,
,
"Issue created by argha.dhar_kt@external.swiggy.in on Feb 13, 2022, 08:52 PM",
,
Mayo dip is missing,
,
very good,
,
I had ordered two plates but was delivered only one,
,
surface was burnt. Chutneys were not provided.,
,
I ordered 2 chicken cheese fries momo but there was no cheese at all... it's very sad,
,
coke is not cold. it's normal. I don't like it.,
,
why the delivery charges increase with the quantity of item for same address,
,
no proper chatni to eat with our it is not stream properly..... burger is left God knows how it is,
,
The stuff of the steam momo is really not upto the mark. I consume this previous but this is horrible and I'm thinking that it's a cold drinks or hot drinks. Moburg is good...,
,
veg and non veg was mixed... so it's very hard for mine.. please Look into,
,
food delivered so late...was cold and tasted bad.. No momos sauces or anything provided.,
,
wow,
,
it became soggy,
,
I have ordered chicken Schezwan momos and double cheese margerita pizza . Both were tasty. I love the quality and quantity they provide.. . Would definitely visit here again..,
,
Dibyendu is a very good delivery partner,
,
Momos were not Steamed well &amp; seemed uncooked.. But the MOBURG was GOOD.,
,
"always great! NVR disappointing. it's momos, not men! duh ",
,
improve the packaging,
,
thanks,
,
momo 4 pcs pack,
,
food delivered so late...was cold and tasted bad.. No momos sauces or anything provided.,
,
Momos were not Steamed well &amp; seemed uncooked.. But the MOBURG was GOOD.,
,
teast is delicious but not unquie,
,
why the delivery charges increase with the quantity of item for same address,
,
Thanks,
,
Never order from them. They will showcase items and later when you order they send across half of the items that too in pathetic condition. Don’t take risk ordering from them. Franchise is becoming bigger and ignorant at the same point of time by simply cheating the innocent customers .,
,
they have not given the momos chutney,
,
My ?28 due Please return my payment,
,
Please increase quantity,
,
Amazing as always!,
,
nice behavior and delivered,
,
undercooked,
,
wow,
,
Dibyendu is a very good delivery partner,
,
I have ordered chicken Schezwan momos and double cheese margerita pizza . Both were tasty. I love the quality and quantity they provide.. . Would definitely visit here again..,
,
it became soggy,
,
veg and non veg was mixed... so it's very hard for mine.. please Look into,
,
The stuff of the steam momo is really not upto the mark. I consume this previous but this is horrible and I'm thinking that it's a cold drinks or hot drinks. Moburg is good...,
,
no proper chatni to eat with our it is not stream properly..... burger is left God knows how it is,
,
coke is not cold. it's normal. I don't like it.,
,
Amazing as always!,
,
Thanks,
,
nice behavior and delivered,
,
Please increase quantity,
,
teast is delicious but not unquie,
,
thanks,
,
they have not given the momos chutney,
,
Never order from them. They will showcase items and later when you order they send across half of the items that too in pathetic condition. Don’t take risk ordering from them. Franchise is becoming bigger and ignorant at the same point of time by simply cheating the innocent customers .,
,
My ?28 due Please return my payment,
,
improve the packaging,
,
momo 4 pcs pack,
,
undercooked,
,
"some of the momos smells bad, seems added the old items in a new order. I have grown out those smells bad. please don't cheat on food products.. . Thank you",
,
no sause. and the food is not warm.??,
,
all gud but momo chutney is totally rotten,
,
"The delivery guy was very sweet. Even though he could not find my address, he talked calmly and walked to my house to deliver.",
,
v.good,
,
nice,
,
fabulous mind-blowing outstanding blah blah ??????????,
,
has become cold due to delay delivery,
,
awesome,
,
I just love it. ??,
,
refund my money as soon as possible,
,
"The delivery guy was very sweet. Even though he could not find my address, he talked calmly and walked to my house to deliver.",
,
v.good,
,
nice,
,
fabulous mind-blowing outstanding blah blah ??????????,
,
awesome,
,
all gud but momo chutney is totally rotten,
,
"some of the momos smells bad, seems added the old items in a new order. I have grown out those smells bad. please don't cheat on food products.. . Thank you",
,
no sause. and the food is not warm.??,
,
taste is not godd,
,
"Don't even deserves a 1-rating, complete waste product",
,
"This was the most pathetic quality of momos till date …i have ordered from wow momos many times but never had such bad experience. It felt like it was made hours back and just heated it. The momos were open , broken . The covering was not holding the filling. With this experience i will not be ordering for some months to come.",
,
worst momo ever tasted,
,
5 star review ........................................................................................................,
,
I recently tried this new range of chilli momos introduced by wow momos. They were very spicy and flavourful. You can try it for once if you're spicy lover! . The only problem was that they didn't provide any sauce or chutney with momos. I even asked for it but they said chutneys are not available with these momos.,
,
useless service it took more than 90 mins for my package to arrive.,
,
Wrong order,
,
very very poor,
,
"No sauces chutney provided, also no tissues, chilli momo not as shown in image, not saucy, very dry than pan fried",
,
98 rupees delivery charge. Definitely not worth if I add that (obviously),
,
they give us raw momos all raw kacchaa maida not steamed very highly disappointed,
,
"Delivery tool way too long, food got cold by the time it reached",
,
momo are cold,
,
bad packaging,
,
quality and quantity was good but it was too oily,
,
Wow moment creating by wow mom and I give pander tandoori Momo and test lajabab. Staff service fast. Product also good,
,
"Decent place for fun.Bit overpriced,staffs are not polite.Mo burg and fried momos are great but ingredients used are not always fresh.",
,
One moburg is missing,
,
By mistakenly order veg instead of Chicken,
,
no chutney given,
,
nice,
,
good,
,
plz don't do this as this literally gave me goose bumps,
,
missing order. bad service.,
,
can't send any sauce or else,
,
the mint dip was missing from the package .,
,
would have liked a better saucee,
,
Bad experience,
,
exellent quality  test and on time delivery..i am very happy,
,
pepsi not delivered,
,
Not fresh.,
,
good,
,
Best staff ever. The store was almost closed but still he managed to give us the food by keeping all the terms and conditions. . The food is so tasty and made in a really Hygienic way.. Tho food was a bit overpriced but still the money spent is well spent.,
,
good,
,
Not fresh.,
,
pepsi not delivered,
,
useless service it took more than 90 mins for my package to arrive.,
,
5 star review ........................................................................................................,
,
Wrong order,
,
refund my money as soon as possible,
,
I just love it. ??,
,
I am amazed by the fast delivery.,
,
tasty,
,
overall experience was average. Although the food was delivered on time but it was not at all warm and all the sauce and mayonnaise in the burger was spilled out.,
,
the restaurant is dealy the oder and verry bad quality,
,
burn food. . poor quality,
,
the sauce was not good.,
,
worst unhygienic bad quality ever had,
,
yummy ??,
,
chutney's taste was not that bad but momo is too good.,
,
can achieve 5stars,
,
thank you for the delivery in rain also,
,
nice,
,
the food was woooow!!,
,
Mr Javed was on time polite and well behaved thanks Javed &amp; Zomato,
,
Chicken momo order in wow momo @sector31.. Product quality was good and test also good . service very fast .staff greetings wow. .,
,
I did order wow momo veg darjiling steem .this is really loved it brands.cusomer service very fast.Product test excellent.overalll experience excellent.,
,
superb,
,
I did visit in wow momo Sector 31 .service was excellent &amp; staff as well. Product test was excellent. Loved it wow Momo,
,
"Food was smell so good and when I started to eating it, I was just amazed because of its taste.. Food was extremely good in the taste.. I love this taste very much.",
,
??????????????,
,
Great experience creating by wow momo team. Give order chicken momo test was excellent. Great customer greeting. Keep it up team??????,
,
good,
,
Tandoori momos just had a perfect blend of spices and crunchiness..It was perfect..Even chilli momos were very different and good,
,
all momos was broken..plz send momo in gud condition,
,
not up to the mark,
,
all send like this we put it in dust bin waste of money,
,
super ??????????,
,
yummy ?? moburg,
,
i haven't receive my favourite sauses from wow momo. or else I couldn't have ordered this food,
,
all send like this we put it in dust bin waste of money,
,
super ??????????,
,
??????????????,
,
i haven't receive my favourite sauses from wow momo. or else I couldn't have ordered this food,
,
Great experience creating by wow momo team. Give order chicken momo test was excellent. Great customer greeting. Keep it up team??????,
,
Best staff ever. The store was almost closed but still he managed to give us the food by keeping all the terms and conditions. . The food is so tasty and made in a really Hygienic way.. Tho food was a bit overpriced but still the money spent is well spent.,
,
"delivery was 1 hour late, ordering hot food and receiving it cold takes away all the interest and fun of having a meal please manage your delivery standard.",
,
I wasn't satisfied with the order coz it took more than 1 hour and it got cold,
,
taste of red chutney was below average.,
,
momo is very juicy... moburg is too spicy,
,
excellent need to try nonvej,
,
Too much spicy,
,
best,
,
wow momo giving good offers.. but need to improve in taste,
,
without mayonnaise how can someone enjoy momos ??,
,
gd,
,
taste stale,
,
you have given non veg instead of veg. what nonsense way of handling things. this is absolutely not acceptable.,
,
some of the items were not delivered instead replaced with something else.,
,
good,
,
very gentle person,
,
soggy momos and no dip provided,
,
I did not received the Pepsi 250 ml mentioned in the combo,
,
1+1 plate steam darjeeling chicken momo..... awesome in taste as usual,
,
overdose of Salt..... is it because of the salty taste u r running this offer today ??? too too much salted momos .......,
,
I got burnt burger base. . it was stale too. dissatisfied ????,
,
The app took the order from my previous order and it was a wrong order which was taken and i received. I have always ordered chicken cheese and not chicken fried.,
,
moburg is missing in one of the meals..,
,
Improve the quality of Momos,
,
worst experience first of all resturant took more time than average also cold momos and has shit taste eww,
,
food was cold,
,
NOT so Good Experience!!. Taste of sauce was really bad. moburg was below average maybe because of delivery momos was actually okay but had them without sauces the best thing was pepsi. Thankyou!!,
,
no ketchup and no red chutney how to eat,
,
good,
,
didn't give chutney. forgot to put both chutney. Unacceptable,
,
it is not hot and and momo isn't soft,
,
good,
,
vagitables,
,
too much fry why,
,
good,
,
"The packaging was damaged, chutney spilled all over, and delivery was an hour late.",
,
Good quantity and taste,
,
5  star review.......................................................................................,
,
too spicy,
,
This particular wow momo outlet serve really good burgers with sufficient amount of sauce and Mayo...superb,
,
wonderful packaging..fabulous taste..,
,
Very bad,
,
very tasty,
,
very bad taste,
,
Superb ......!!!!! NICE PLACE TO HAVE PARTY !!!!!..................@.@..@.@.. . . ? . . . Candice Nancy (Ryan) Rafael,
,
best ?? quality for momo,
,
it was a fast delivery plz keep up,
,
Awesome Taste.. yummy ??,
,
it was a fast delivery plz keep up,
,
This particular wow momo outlet serve really good burgers with sufficient amount of sauce and Mayo...superb,
,
Superb ......!!!!! NICE PLACE TO HAVE PARTY !!!!!..................@.@..@.@.. . . ? . . . Candice Nancy (Ryan) Rafael,
,
very bad taste,
,
Very bad,
,
best ?? quality for momo,
,
very tasty,
,
wonderful packaging..fabulous taste..,
,
too spicy,
,
Good quantity and taste,
,
5  star review.......................................................................................,
,
"The packaging was damaged, chutney spilled all over, and delivery was an hour late.",
,
good,
,
too much fry why,
,
vagitables,
,
good,
,
didn't give chutney. forgot to put both chutney. Unacceptable,
,
it is not hot and and momo isn't soft,
,
good,
,
no ketchup and no red chutney how to eat,
,
yummy ?? moburg,
,
excellent taste,
,
momos was tasty but veg  cehess momo in more good.,
,
tasted like old food,
,
super fast delivery,
,
"U odored fried momo , it doesn’t even look fried.",
,
"No sauces given , what is this service !?such a thing is happening for the second time",
,
"U odored fried momo , it doesn’t even look fried.",
,
super fast delivery,
,
"No sauces given , what is this service !?such a thing is happening for the second time",
,
momos was tasty but veg  cehess momo in more good.,
,
tasted like old food,
,
excellent taste,
,
Awesome Taste.. yummy ??,
,
food is missing,
,
oveall it was the best experience.,
,
the taste is not good,
,
very very bad,
,
I have ordered  5 combo and only 4 Pepsi they send ??,
,
"The momo tasted good and the filling was tasty.. But the chutney tasted very bad, the tomato in the chutney tasted stale. ",
,
I have ordered  5 combo and only 4 Pepsi they send ??,
,
very very bad,
,
food is missing,
,
oveall it was the best experience.,
,
the taste is not good,
,
"momos was good , cold drink was not chilled",
,
"Cold drink was warm, why do add cold drinks if you cant serve cold.",
,
Very late delivery.,
,
Food was cold,
,
packing is not up to the mark. As per given photo delivered product is not exact,
,
got only 4 momos instead of 5. order stated 5 pieces. disappointed.,
,
I didn't receive the moberg which was included in 5his package ??????????,
,
The food was cold and not able to eat,
,
Outer covering is not there only stuffing,
,
Rubber band in noodles,
,
The food is completely burnt and excessively oily. It's quite inedible and am looking for a compensation.,
,
"Issue created by rohit.kamble1_hrh@external.swiggy.in on Feb 14, 2022, 08:39 PM",
,
All 3 Chicken moburgers missing in order,
,
The momo was not in schezwan sauce,
,
Ordered veg but provided non veg,
,
Momos were delivered without sauce. Description says momo sauce is included.,
,
No pepsi is there. <br/>,
,
The food is so spicy that I can't even finish one piece of momo,
,
Found aluminium foil inside the momos,
,
I did not get,
,
I ordered pan fried momo,
,
"Issue created by absar.a9_cb@external.swiggy.in on Feb 19, 2022, 08:25 PM",
,
I have ordered paneer momo but get only veg momo,
,
"Issue created by aman.kshaw_kt@external.swiggy.in on Feb 18, 2022, 07:46 PM",
,
Veg momo received,
,
"Issue created by akshay11_cb@external.swiggy.in on Feb 19, 2022, 10:51 PM",
,
"Issue created by srikanth.reddy1_cb@external.swiggy.in on Feb 20, 2022, 01:39 AM",
,
Both the peosi can were missing,
,
I ordered 2 Pepsi and 2 burger and six pieces of mooms but I recived only 1 pepsi,
,
Mayo missing,
,
Pepsi was not delivered and tomato garlic sauce not delivered,
,
Hi..i orders chilli momos and it is plain .No sauce and no taste in momos very much plain momo..,
,
"We ordered Darjeeling steam momos, but I received plain steam momo",
,
"As per the combo it said I will get Pepsi bit here I got seven up, I was lil disappoint when I got it. They can mention it there that no Pepsi available or any thing like that. I personally don't prefer sevenup",
,
I received a wrong order I order chicken momo and I receive veg,
,
"Issue created by nikhil.dudhrechia_cb@external.swiggy.in on Feb 15, 2022, 02:25 AM",
,
I orderd 2 Quantity of veg momos and 1 quantity chicken momos from Wow momo....but I received 1 veg and 1 chicken momo,
,
"Issue created by dhruv3_tm@external.swiggy.in on Feb 16, 2022, 06:38 PM",
,
Call me back,
,
2 Pepsi is missing,
,
"I have ordered schzewan sauce but instead it was tomato sauce based sauce . It was not at all spicy rather was sweet like tomato ketchup , whats the use of giving option in the order if u guys have to gve what u like to give",
,
Instead of chicken chilli momo + moburger i received darjeeling veg momo,
,
We ordered for 2 combos bt v got only delivery of one combo,
,
I ordered combo <br/>In this combo 2 burgers are Missing,
,
A burger and a Pepsi is missing,
,
"Ordered moburg 1+1, got only one moburg. And for momos no sauses were provided",
,
Spillage,
,
Foul smell. Unsure if it?s normal,
,
"Issue created by anushka.arora_tm@external.swiggy.in on Feb 18, 2022, 07:56 PM",
,
I had ordered two chocolate momos but I've only received one,
,
"Issue created by prafful.neeli_cb@external.swiggy.in on Feb 16, 2022, 10:37 PM",
,
The food was fully cold as if it was made hours earlier,
,
Only one meal is delivered in pkg,
,
"Issue created by tannu.kori_kt@external.swiggy.in on Feb 14, 2022, 09:56 PM",
,
"Issue created by bharath1.m_hrh@external.swiggy.in on Feb 18, 2022, 10:28 PM",
,
Missing 1 PC chocolate momo,
,
"Issue created by mohammed.a14_cb@external.swiggy.in on Feb 16, 2022, 11:58 PM",
,
The food tasted bad and stale,
,
Momos are missing,
,
very poor,
,
it's cool food not sutable to eat,
,
Wow! Momo did not send paper tissues with the Veg Burgers. Hope they send it whenever I give my next order to them.,
,
The delivery boy is very good,
,
4 Pepsi missing in 4 combos,
,
Such a scam. They publish that 40 mins or free. We ordered and waited for more than an hour and no food. Delivery person don’t pick the call. Restaurant doesn’t pick the call. Zomato exec was not helpful saying I can’t do anything than refund. Pathetic!,
,
hard reset requested for less salt,
,
place of 5 momo in this pack had only 4...,
,
Pepsi was not enough cool and packaging too bad,
,
good service,
,
super,
,
Not at all good . Really disappointed,
,
please give mayonnaise,
,
4 Pepsi missing in 4 combos,
,
Wow! Momo did not send paper tissues with the Veg Burgers. Hope they send it whenever I give my next order to them.,
,
place of 5 momo in this pack had only 4...,
,
The delivery boy is very good,
,
it's cool food not sutable to eat,
,
Very late delivery.,
,
"momos was good , cold drink was not chilled",
,
hard reset requested for less salt,
,
Such a scam. They publish that 40 mins or free. We ordered and waited for more than an hour and no food. Delivery person don’t pick the call. Restaurant doesn’t pick the call. Zomato exec was not helpful saying I can’t do anything than refund. Pathetic!,
,
I didn't receive the moberg which was included in 5his package ??????????,
,
got only 4 momos instead of 5. order stated 5 pieces. disappointed.,
,
very poor,
,
packing is not up to the mark. As per given photo delivered product is not exact,
,
Food was cold,
,
"Cold drink was warm, why do add cold drinks if you cant serve cold.",
,
Momos were not hot when delivered.Taste was spicy but good,
,
Forgot to put momo sauces,
,
food was all good ... but they didn't provide us with a single spoon ..that's all,
,
no taste,
,
"not very fresh, leaked packaging.. very less amount of sauce.. overall not good ",
,
Zomato and wow momo both are both fraud companies,
,
i did not get what i had ordered for.,
,
very good,
,
yummy ?? hope your chicken are halal and fresh,
,
it's very spicy,
,
it's very spicy,
,
"not very fresh, leaked packaging.. very less amount of sauce.. overall not good ",
,
food was all good ... but they didn't provide us with a single spoon ..that's all,
,
i did not get what i had ordered for.,
,
Momos were not hot when delivered.Taste was spicy but good,
,
no taste,
,
yummy ?? hope your chicken are halal and fresh,
,
very good,
,
Zomato and wow momo both are both fraud companies,
,
Forgot to put momo sauces,
,
I ordered 2 Cheesy Veggie Moburg from  WOW Moms but the burgers I got are Veg Moburg. . . . . .,
,
the burger was really good ??,
,
I ordered 2 Cheesy Veggie Moburg from  WOW Moms but the burgers I got are Veg Moburg. . . . . .,
,
please give mayonnaise,
,
good,
,
excellent,
,
"this is my favourite, I order always for same?? , thank you wow momos for such a tasty and delicious momos , and burger??,,,, lovemomos??",
,
it would be good if you increase memos quantity,
,
Option to adjust how much sauce is used should be made available,
,
Everything was fine except the delivery person. He was extremly rude &amp; a liar. Dis is the 1st tym wid zomato dat I got to experience  wid ur delivery person,
,
cheese dip is missing,
,
i didn't recieve any dips or cutlery,
,
i only everytime from wow order cheese corn pan fried in kolkata but this time it was very bad in taste,
,
offer buy 1 get 1 free but dilever only one,
,
"I was ordered momo which mentioned get one free, but you had delivered only one. I was just cheated by you. Shame.",
,
not as good as chicken combo.,
,
Very late delivery and cold food,
,
super ????,
,
ordered something else and delivered something else,
,
Very unclear directions about Buy 1 Get 1.,
,
I did not receive the free momo from my buy 1 get 1 free offer. whats the point of such offers when you dont even get the free one? sheer harassment.,
,
kindly don't send such food to your customers,
,
Didn't send an item even after specifically asking,
,
"Improve quality, reduce price.",
,
tasty,
,
"Improve quality, reduce price.",
,
Didn't send an item even after specifically asking,
,
super ????,
,
Very late delivery and cold food,
,
not as good as chicken combo.,
,
I did not receive the free momo from my buy 1 get 1 free offer. whats the point of such offers when you dont even get the free one? sheer harassment.,
,
ordered something else and delivered something else,
,
"I was ordered momo which mentioned get one free, but you had delivered only one. I was just cheated by you. Shame.",
,
Very unclear directions about Buy 1 Get 1.,
,
cheese dip is missing,
,
i didn't recieve any dips or cutlery,
,
offer buy 1 get 1 free but dilever only one,
,
"this is my favourite, I order always for same?? , thank you wow momos for such a tasty and delicious momos , and burger??,,,, lovemomos??",
,
excellent,
,
kindly don't send such food to your customers,
,
i only everytime from wow order cheese corn pan fried in kolkata but this time it was very bad in taste,
,
good,
,
"Total scam..!!!. . It was mentioned that the order has an offer of buy 1 get 1 free. i had ordered 3 pkts, that means i should have received 6 pkts.. . but I have got only 3 pkts.. . proof is given.. . it is highly disappointing.. . i want the refund immediately.",
,
The restaurant made a delay nearly about for 1 and a half hour.. bad service in delivery..,
,
Too much spicy.,
,
best service ecer,
,
bad packing,
,
old children nd too much salt,
,
This order is in 1:1 offer I have received only one momo,
,
"the description was buy one get one free, but I got just one",
,
Wow momo never disappoints me ...My mom's favrt ??,
,
Bad,
,
"I was booked cheese deep but received one spoon mayonnaise in plastic pouch @25/-, please return it",
,
nice,
,
Momos were broken. Packaging was worse. Delivery was extremely late. Sauce was drained all over the packets. WORST WOW MOMO EXPERIENCE EVER.,
,
buy 1 get 1..but get 1 not delivered,
,
momos were very dry.,
,
amazing ??,
,
These people have become greedy for making money now. stay away!,
,
the quantity was less for what I paid.,
,
bad,
,
they didn't gave buy one get one,
,
